date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:34	216532/216532	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22216532-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-regular-400.eot?	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-regular-400d41d.eot	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:34	77468/77468	---M--	200	added ('OK')	text/plain	etag:W/%2277468-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-regular-400.woff2	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-regular-400.woff2	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:35	868513/868513	---M--	200	added ('OK')	image/svg+xml	etag:W/%22868513-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-light-300.svg	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-light-300.svg	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:36	100436/100436	---M--	200	added ('OK')	application/x-font-woff	etag:W/%22100436-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-regular-400.woff	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-regular-400.woff	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:37	216308/216308	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%22216308-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-regular-400.ttf	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-regular-400.ttf	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:39	186088/186088	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22186088-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900.eot	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900.eot	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:40	186088/186088	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22186088-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900.eot?	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900d41d.eot	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:40	64428/64428	---M--	200	added ('OK')	text/plain	etag:W/%2264428-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900.woff2	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900.woff2	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:41	797053/797053	---M--	200	added ('OK')	image/svg+xml	etag:W/%22797053-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-regular-400.svg	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-regular-400.svg	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:41	84004/84004	---M--	200	added ('OK')	application/x-font-woff	etag:W/%2284004-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900.woff	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900.woff	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:43	185872/185872	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%22185872-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900.ttf	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900.ttf	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:45	126428/126428	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22126428-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400.eot	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400.eot	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:46	126428/126428	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22126428-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400.eot?	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400d41d.eot	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:46	674031/674031	---M--	200	added ('OK')	image/svg+xml	etag:W/%22674031-1601418000000%22	https://www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900.svg	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/css/fontawesome-5.0.13/fonts/fa-solid-900.svg	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:46	69644/69644	---M--	200	added ('OK')	text/plain	etag:W/%2269644-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400.woff2	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400.woff2	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:47	81612/81612	---M--	200	added ('OK')	application/x-font-woff	etag:W/%2281612-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400.woff	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400.woff	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:49	126192/126192	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%22126192-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400.ttf	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400.ttf	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:52	405844/405844	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22405844-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300.eot	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300.eot	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:52	714759/714759	---M--	200	added ('OK')	image/svg+xml	etag:W/%22714759-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400.svg	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-brands-400.svg	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:52	405844/405844	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22405844-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300.eot?	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300d41d.eot	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:53	145656/145656	---M--	200	added ('OK')	text/plain	etag:W/%22145656-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300.woff2	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300.woff2	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
